Exoplanets with known densities and mass less than 10 Earth masses.

   55_Cnc_e Mass= 8.073 (EM), density= 6.411 (g/cm3), temp=2349.000 (K)
   CoRoT-07 Mass= 5.752 (EM), density= 7.581 (g/cm3), temp=1756.000 (K)
    GJ_1132 Mass= 1.621 (EM), density= 5.985 (g/cm3), temp= 579.000 (K)
    GJ_1214 Mass= 6.261 (EM), density= 1.490 (g/cm3), temp= 547.000 (K)
  HD_097658 Mass= 7.564 (EM), density= 3.910 (g/cm3), temp= 757.000 (K)
  HD_219134 Mass= 4.322 (EM), density= 5.772 (g/cm3), temp=  -1.000 (K)
     K2-03b Mass= 8.104 (EM), density= 4.389 (g/cm3), temp=  -1.000 (K)
 Kepler-10b Mass= 3.718 (EM), density= 6.477 (g/cm3), temp=2169.000 (K)
 Kepler-11b Mass= 1.907 (EM), density= 1.769 (g/cm3), temp=  -1.000 (K)
 Kepler-11c Mass= 2.892 (EM), density= 0.678 (g/cm3), temp=  -1.000 (K)
 Kepler-11d Mass= 7.310 (EM), density= 1.330 (g/cm3), temp=  -1.000 (K)
 Kepler-11e Mass= 8.009 (EM), density= 0.599 (g/cm3), temp=  -1.000 (K)
 Kepler-11f Mass= 2.002 (EM), density= 0.732 (g/cm3), temp=  -1.000 (K)
 Kepler-18b Mass= 6.992 (EM), density= 4.921 (g/cm3), temp=  -1.000 (K)
 Kepler-20b Mass= 8.708 (EM), density= 6.517 (g/cm3), temp=1014.000 (K)
  Kepler-22 Mass= 6.992 (EM), density= 2.394 (g/cm3), temp= 262.000 (K)
 Kepler-25b Mass= 9.534 (EM), density= 2.500 (g/cm3), temp=  -1.000 (K)
 Kepler-26b Mass= 5.117 (EM), density= 1.264 (g/cm3), temp=  -1.000 (K)
 Kepler-26c Mass= 6.197 (EM), density= 1.609 (g/cm3), temp=  -1.000 (K)
 Kepler-29b Mass= 4.513 (EM), density= 0.652 (g/cm3), temp=  -1.000 (K)
 Kepler-29c Mass= 4.004 (EM), density= 0.705 (g/cm3), temp=  -1.000 (K)
 Kepler-36b Mass= 4.449 (EM), density= 7.475 (g/cm3), temp= 978.000 (K)
 Kepler-36c Mass= 8.073 (EM), density= 0.891 (g/cm3), temp= 928.000 (K)
 Kepler-51b Mass= 2.098 (EM), density= 0.027 (g/cm3), temp= 543.000 (K)
 Kepler-51c Mass= 4.004 (EM), density= 0.047 (g/cm3), temp= 439.000 (K)
 Kepler-51d Mass= 7.596 (EM), density= 0.027 (g/cm3), temp= 381.000 (K)
 Kepler-68b Mass= 6.039 (EM), density= 3.325 (g/cm3), temp=1280.000 (K)
 Kepler-68c Mass= 4.767 (EM), density=27.930 (g/cm3), temp=  -1.000 (K)
  Kepler-78 Mass= 1.875 (EM), density= 5.985 (g/cm3), temp=  -1.000 (K)
 Kepler-79c Mass= 5.911 (EM), density= 0.625 (g/cm3), temp=  -1.000 (K)
 Kepler-79d Mass= 6.007 (EM), density= 0.093 (g/cm3), temp=  -1.000 (K)
 Kepler-79e Mass= 4.100 (EM), density= 0.532 (g/cm3), temp=  -1.000 (K)
 Kepler-87c Mass= 6.388 (EM), density= 0.153 (g/cm3), temp= 403.300 (K)
 Kepler-88b Mass= 8.708 (EM), density= 0.878 (g/cm3), temp=  -1.000 (K)
 Kepler-93b Mass= 4.004 (EM), density= 6.903 (g/cm3), temp=1037.000 (K)
  Kepler-96 Mass= 8.581 (EM), density= 2.261 (g/cm3), temp=  -1.000 (K)
  Kepler-99 Mass= 6.039 (EM), density=10.933 (g/cm3), temp=  -1.000 (K)
Kepler-100c Mass= 7.310 (EM), density=14.231 (g/cm3), temp=  -1.000 (K)
Kepler-102d Mass= 3.814 (EM), density=13.300 (g/cm3), temp=  -1.000 (K)
Kepler-102e Mass= 8.899 (EM), density= 4.695 (g/cm3), temp=  -1.000 (K)
Kepler-105c Mass= 4.608 (EM), density=11.172 (g/cm3), temp=  -1.000 (K)
Kepler-138b Mass= 0.067 (EM), density= 2.660 (g/cm3), temp=  -1.000 (K)
Kepler-138c Mass= 1.970 (EM), density= 6.251 (g/cm3), temp=  -1.000 (K)
Kepler-138d Mass= 0.636 (EM), density= 2.128 (g/cm3), temp=  -1.000 (K)
Kepler-289b Mass= 7.310 (EM), density= 4.123 (g/cm3), temp=  -1.000 (K)
Kepler-289c Mass= 4.132 (EM), density= 1.197 (g/cm3), temp=  -1.000 (K)
Kepler-406b Mass= 6.356 (EM), density=11.850 (g/cm3), temp=  -1.000 (K)
   WASP-47d Mass= 8.581 (EM), density= 1.197 (g/cm3), temp=  -1.000 (K)
Total of 48 exoplanets known with these characteristics
